,0
1652,248230418
1653,277669623
1654,176570553
1655,294230516
1656,236542362
1657,8737264
1658,229327740
1659,315811313
1660,310834984
1661,290651112
1662,81937001
1663,97460459
1664,259608477
1665,132770481
1666,259678558
1667,88209876
1668,67129984
1669,116319575
1670,78338780
1671,289661863
1672,284992338
1673,306777828
1674,42787847
1675,272833575
1676,44864766
1677,40295338
1678,282495998
1679,189876392
1680,53742907
1681,307213081
1682,308899864
1683,44511868
1684,254698605
1685,238222326
1686,11809516
1687,293964140
1688,167516192
1689,137843918
1690,7910306
1691,4427919
1692,344430
1693,279789819
1694,247815918
1695,16547572
1696,144157237
1697,282947540
1698,310427567
1699,282709855
1700,235289287
1701,228687350
1702,262121533
1703,306776059
1704,214159300
1705,234362378
1706,278437717
1707,298691621
1708,35356919
1709,171617376
1710,268934074
1711,179435724
1712,311927885
1713,289753643
1714,38786049
1715,11859523
1716,144258738
1717,53654567
1718,216135695
1719,312173473
1720,141207178
1721,253684561
1722,132799453
1723,33556616
1724,4552468
1725,267619184
1726,268002580
1727,183986823
1728,313252735
1729,311834160
1730,126038486
1731,294379826
1732,279231191
1733,179497968
1734,83422301
1735,156504800
1736,297653591
1737,163145154
1738,243100705
1739,222131863
1740,194736618
1741,171111299
1742,303355930
1743,251594166
1744,73684627
1745,252104351
1746,304736571
1747,72050539
1748,296039611
1749,284127656
1750,50089256
1751,37066989
1752,304948132
1753,254541552
1754,184551189
1755,53402400
1756,30413378
1757,238307109
1758,304563298
1759,32323110
1760,574040
1761,37119766
1762,284319030
1763,307863659
1764,312158913
1765,303697971
1766,283413455
1767,269880741
1768,308607517
1769,302554528
1770,297110252
1771,254679265
1772,100130462
1773,84470793
1774,69160031
1775,208271186
1776,313118238
1777,226682552
1778,311326171
1779,51671414
1780,189367335
1781,32802748
1782,2976331
1783,241331495
1784,241915334
1785,291246638
1786,2173343
1787,300285877
1788,17325196
1789,1710336
1790,440807
1791,222154445
1792,203991040
1793,238786288
1794,863446
1795,63226087
1796,11861547
1797,265414635
1798,236483147
1799,306847298
1800,189885223
1801,283719868
1802,303886467
1803,315760889
1804,62321716
1805,280503107
1806,209495385
1807,68633539
1808,275892491
1809,221107730
1810,122403023
1811,307950219
1812,28894935
1813,131138999
1814,292633382
1815,56515808
1816,4500678
1817,202644869
1818,101355637
1819,307403082
1820,8594510
1821,317725018
1822,192853620
1823,83864752
1824,300414350
1825,254500138
1826,94179387
1827,199791724
1828,491848
1829,6478209
1830,237502619
1831,280313083
1832,75447937
1833,290149551
1834,305342615
1835,295637314
1836,8306064
1837,297626507
1838,20496040
1839,280908507
1840,277958281
1841,271220897
1842,268537792
1843,100036971
1844,23519717
1845,207174214
1846,110195968
1847,231779530
1848,309926271
1849,143161300
1850,309207861
1851,305580573
1852,304111443
1853,260049173
1854,279656590
1855,41451542
1856,22542948
1857,271223102
1858,295286246
1859,115502568
1860,235989056
1861,198322455
1862,105427746
1863,100188091
1864,314450769
1865,307651431
1866,304410526
1867,86252319
1868,84030054
1869,180119183
1870,277543258
1871,599222
1872,32767151
1873,206076564
1874,283773053
1875,234269162
1876,284318631
1877,252352307
1878,273266855
1879,271844345
1880,195785221
1881,311900474
1882,153732448
1883,223407266
1884,273826430
1885,287776132
1886,987093
1887,237699534
1888,237183060
1889,133536552
1890,305104962
1891,17079760
1892,277094687
1893,241036262
1894,266690807
1895,30752525
1896,312945914
1897,301197859
1898,175762912
1899,141206397
1900,306852692
1901,262945839
1902,168697895
1903,184756827
1904,299653830
1905,118273336
1906,87485222
1907,304965762
1908,301979958
1909,37570615
1910,315765880
1911,98560181
1912,83443197
1913,266470744
1914,285565929
1915,242947534
1916,157195895
1917,176321221
1918,199377640
1919,8106831
1920,242149485
1921,122420302
1922,6820998
1923,255142765
1924,307495953
1925,42464173
1926,33145583
1927,193567369
1928,261940361
1929,140089243
1930,314042979
1931,242446737
1932,272596298
1933,286182261
1934,252165734
1935,252164162
1936,310416046
1937,191852465
1938,201769887
1939,49984224
1940,271692286
1941,247948662
1942,299567733
1943,299034039
1944,19957074
1945,142095480
1946,313535829
1947,115637235
1948,248363477
1949,274040917
1950,86114765
1951,2408601
1952,59295460
1953,307212218
1954,11931663
1955,314027248
1956,227738371
1957,279313319
1958,274359062
1959,297672738
1960,234824170
1961,273194146
1962,299570605
1963,290692972
1964,78145322
1965,4490445
1966,309673829
1967,244140594
1968,272558885
1969,308753654
1970,308129538
1971,7725759
1972,311479360
1973,309203611
1974,35040926
1975,305687844
1976,283818866
1977,297154457
1978,317807045
1979,21757992
1980,275465176
1981,289659772
1982,12623213
1983,276462276
1984,35146676
1985,86251738
1986,39690796
1987,14917772
1988,125246648
1989,70769534
1990,131137183
1991,273148026
1992,97493837
1993,205165045
1994,262552004
1995,641999
1996,98191839
1997,296431804
1998,262450380
1999,96483429
2000,301365469
2001,306345975
2002,278360611
2003,262450672
2004,120091407
2005,12070173
2006,290578272
2007,275159586
2008,253569084
2009,284190470
2010,305646189
2011,86511093
2012,263315678
2013,149319326
2014,24713283
2015,300465109
2016,310092222
2017,295292490
2018,240116444
2019,304106956
2020,290836858
2021,273812998
2022,297876696
2023,256776385
2024,308831368
2025,289253881
2026,280909164
2027,283780012
2028,292654253
2029,314774017
2030,298026245
2031,272264604
2032,14000470
2033,208551832
2034,309922443
2035,298601346
2036,51558465
2037,314793124
2038,293821786
2039,50040003
2040,308831941
2041,240594535
2042,6135864
2043,247716539
2044,181163754
2045,175630912
2046,21719126
2047,305344957
2048,281211457
2049,258089114
2050,121730623
2051,317470939
2052,302299086
2053,272317117
2054,254469003
2055,262706153
2056,116073955
2057,245495
2058,126072971
2059,216856335
2060,314179384
2061,284185865
2062,62136660
2063,297980275
2064,46422945
2065,271624021
2066,269347582
2067,7733714
2068,472109
2069,301501374
2070,312750179
2071,252163256
2072,295363390
2073,289814935
2074,314894018
2075,311485375
2076,253536774
2077,237676454
2078,190071992
2079,249458398
2080,304607068
